c s2M s2V K m u N T kf km
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4985 0.0063
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4974 0.0077
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4989 0.0027
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4989 0.0009
0.1 0.1 0.01 100 0 0.1 1000 500 0.3907 0.1494
0.1 0.1 0.01 100 0 0.1 1000 1000 0.467 0.0578
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4749 0.0374
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4842 0.0391
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4837 0.0226
0.1 0.1 0.01 100 0 0.1 1000 3000 0.497 0.0188
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4929 0.0086
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4875 0.0043
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4875 0.0067
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4937 0.015
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4974 0.0109
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4903 0.0122
0.1 0.1 0.01 100 0 0.1 1000 6500 0.496 0.0116
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4861 0.0028
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4902 0.0042
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4916 0.0071
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4946 0.0122
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4928 0.008
0.1 0.1 0.01 100 0 0.1 1000 9500 0.493 0.0075
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4978 0.0044
0.1 0.1 0.01 100 0 0.1 1000 500 0.2535 0.185
0.1 0.1 0.01 100 0 0.1 1000 1000 0.191 0.1065
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4058 0.1288
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4303 0.0629
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4824 0.063
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4861 0.0299
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4871 0.0112
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4915 0.0068
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4956 0.008
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4959 0.0041
0.1 0.1 0.01 100 0 0.1 1000 5500 0.495 0.0036
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4893 0.0049
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4902 0.005
0.1 0.1 0.01 100 0 0.1 1000 7000 0.493 0.0077
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4885 0.005
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4908 0.0064
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4918 0.009
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4925 0.0084
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4959 0.0177
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4989 0.0212
0.1 0.1 0.01 100 0 0.1 1000 500 0.3004 0.195
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4018 0.1764
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4323 0.1054
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4835 0.0731
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4888 0.0358
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4919 0.027
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4968 0.0229
0.1 0.1 0.01 100 0 0.1 1000 4000 0.498 0.0129
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4965 0.0191
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4959 0.0048
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4978 0.0046
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4972 0.0062
0.1 0.1 0.01 100 0 0.1 1000 6500 0.496 0.0062
